     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
   9663742,       196,         0,    1.00,chromobius,182943fa6fb8378bffce82d77daf2929e02982f51cd2138943a9bd8e73d8e372,"{""c"":""phenom_color_code"",""d"":3,""noise"":""uniform"",""p"":0.0002,""q"":8,""r"":12}","{""detection_events"":647556}"
   7229440,       355,         0,    1.00,chromobius,e7982efc9caecb89c84e2ef852b4cd418f1a8334f28114f58c26026618ac7bb9,"{""c"":""phenom_color_code"",""d"":3,""noise"":""uniform"",""p"":0.0003,""q"":8,""r"":12}","{""detection_events"":729706}"
   4847586,       630,         0,    1.00,chromobius,5d4833f915f29c2b568c00ea008afff51b4566028395a3c5edeafdd904756132,"{""c"":""phenom_color_code"",""d"":3,""noise"":""uniform"",""p"":0.0005,""q"":8,""r"":12}","{""detection_events"":812446}"
   3610610,       894,         0,    1.00,chromobius,c25cce5ed8f0615c8debff44badf1456bd4da79b4515b3a05e3d218b6fa04ab5,"{""c"":""phenom_color_code"",""d"":3,""noise"":""uniform"",""p"":0.0007,""q"":8,""r"":12}","{""detection_events"":847455}"
   2635496,      1429,         0,    1.00,chromobius,e1dfea538e0438192772c30ca7563455ab870a8306bdee05b55e4af731cc467b,"{""c"":""phenom_color_code"",""d"":3,""noise"":""uniform"",""p"":0.001,""q"":8,""r"":12}","{""detection_events"":884223}"
   1354103,      2913,         0,    1.00,chromobius,875dfa0cab934fac2831e2fea32081108f36a2bf65e62bd3ba11a971d652b7cc,"{""c"":""phenom_color_code"",""d"":3,""noise"":""uniform"",""p"":0.002,""q"":8,""r"":12}","{""detection_events"":905525}"
    917089,      4276,         0,    1.00,chromobius,bd9d3004902813a3f321ad36b91d9d2ff6edc7098ef0f78fceddd0fbcd32f390,"{""c"":""phenom_color_code"",""d"":3,""noise"":""uniform"",""p"":0.003,""q"":8,""r"":12}","{""detection_events"":915754}"
    535394,      6732,         0,    1.00,chromobius,5c6825465ee1e76dfe78db2397500b2e9af088e31d209eb262a12e33007e1067,"{""c"":""phenom_color_code"",""d"":3,""noise"":""uniform"",""p"":0.005,""q"":8,""r"":12}","{""detection_events"":883297}"
    381244,      9150,         0,    1.00,chromobius,9f8907d7a36f7874603bddda2b2bc4649b0a3d68835cd709aa2769b53ff75b99,"{""c"":""phenom_color_code"",""d"":3,""noise"":""uniform"",""p"":0.007,""q"":8,""r"":12}","{""detection_events"":875494}"
    266996,     12475,         0,    1.00,chromobius,cf51842cd3defdd79db9d012c667d3734e3b74094bd168e7fc62adba41459626,"{""c"":""phenom_color_code"",""d"":3,""noise"":""uniform"",""p"":0.01,""q"":8,""r"":12}","{""detection_events"":864170}"
   3938648,         0,         0,    1.00,chromobius,1f154bdbf7f77d84ddcb3e0cd02ca9b7368c71474bc960488b753850e75e2cb8,"{""c"":""phenom_color_code"",""d"":5,""noise"":""uniform"",""p"":0.0001,""q"":20,""r"":20}","{""detection_events"":725300}"
   2240129,         0,         0,    1.00,chromobius,ef6e24a6c03f84381c540c623a85c3bc6238b0c0f7f56c6804d9c0dd7ed201ee,"{""c"":""phenom_color_code"",""d"":5,""noise"":""uniform"",""p"":0.0002,""q"":20,""r"":20}","{""detection_events"":824948}"
   1564058,         0,         0,    1.00,chromobius,5dc5062a8c2459a43791fda9b7dedd140a963b65aba163c40b5c22ceaf7d0c74,"{""c"":""phenom_color_code"",""d"":5,""noise"":""uniform"",""p"":0.0003,""q"":20,""r"":20}","{""detection_events"":862906}"
    965333,         3,         0,    1.00,chromobius,6de5fc0a8ec3bb37c3025f1c686d60b08055d2cf7c1568c7448be1dc6bed9329,"{""c"":""phenom_color_code"",""d"":5,""noise"":""uniform"",""p"":0.0005,""q"":20,""r"":20}","{""detection_events"":886694}"
    701448,         1,         0,    1.00,chromobius,3eeb13974db010f0704fce6cb5a92f6d24cf086c361a2a00c451a53cb344ec4b,"{""c"":""phenom_color_code"",""d"":5,""noise"":""uniform"",""p"":0.0007,""q"":20,""r"":20}","{""detection_events"":898860}"
    495201,         7,         0,    1.00,chromobius,d7d7ac54b3c29dbc763eaa13bf632c1d0fee58d5ab7d104069129c6b5c8b7981,"{""c"":""phenom_color_code"",""d"":5,""noise"":""uniform"",""p"":0.001,""q"":20,""r"":20}","{""detection_events"":907585}"
    247549,        31,         0,    1.00,chromobius,21bf5b2d09a5e51325b0c4eb81b3a0956748541d8b1933e28bf3823ddda8a7ee,"{""c"":""phenom_color_code"",""d"":5,""noise"":""uniform"",""p"":0.002,""q"":20,""r"":20}","{""detection_events"":903097}"
    163063,        74,         0,    1.00,chromobius,f438d6b2f28f85f565cf0dbdd15c732342fd5957e7edec2b19379ae90ec8fa0b,"{""c"":""phenom_color_code"",""d"":5,""noise"":""uniform"",""p"":0.003,""q"":20,""r"":20}","{""detection_events"":891361}"
     96850,       201,         0,    1.00,chromobius,e7bca189a05503c762a3362118e6a3f686b6eb31cd57fcfc6f50aa4e12a69c0b,"{""c"":""phenom_color_code"",""d"":5,""noise"":""uniform"",""p"":0.005,""q"":20,""r"":20}","{""detection_events"":874210}"
     68143,       359,         0,    1.00,chromobius,755c25b792c8199aa1a2a1f7d348d39919f802e6f5f2c05bc0ea83c91a2168b1,"{""c"":""phenom_color_code"",""d"":5,""noise"":""uniform"",""p"":0.007,""q"":20,""r"":20}","{""detection_events"":851661}"
     46921,       747,         0,    1.01,chromobius,57051ec092d944a1e38eda4d5edaf1ceb5071f61b18e8be216a6d15c432448b1,"{""c"":""phenom_color_code"",""d"":5,""noise"":""uniform"",""p"":0.01,""q"":20,""r"":20}","{""detection_events"":827069}"
   1410295,         0,         0,    1.00,chromobius,74233dfac3223be48b6bc3c806977c857ad109f5a315a7a75858d9a8aa531cbf,"{""c"":""phenom_color_code"",""d"":7,""noise"":""uniform"",""p"":0.0001,""q"":38,""r"":28}","{""detection_events"":760337}"
    786813,         0,         0,    1.00,chromobius,5ea89f6e84fe674a94860ec0f345e27f65db01364329cf1944342a74fc1734ae,"{""c"":""phenom_color_code"",""d"":7,""noise"":""uniform"",""p"":0.0002,""q"":38,""r"":28}","{""detection_events"":845820}"
    539303,         0,         0,    1.00,chromobius,e49ad70c479c8f02c77594cbaaebfb59a63f067858593f714ff2a34bb1f6b32f,"{""c"":""phenom_color_code"",""d"":7,""noise"":""uniform"",""p"":0.0003,""q"":38,""r"":28}","{""detection_events"":868517}"
    331172,         0,         0,    1.00,chromobius,5324235c5373520a246d45231848bfb726b45165708204ffb0aea711cad4e053,"{""c"":""phenom_color_code"",""d"":7,""noise"":""uniform"",""p"":0.0005,""q"":38,""r"":28}","{""detection_events"":886938}"
    235471,         0,         0,    1.00,chromobius,a228869cc01c3ef50465a7a10b2c6d7dbecad32e84d0bdaed4db07e83794cf28,"{""c"":""phenom_color_code"",""d"":7,""noise"":""uniform"",""p"":0.0007,""q"":38,""r"":28}","{""detection_events"":883962}"
    167462,         0,         0,    1.00,chromobius,8844d396ec62451a36e1828f56cba471e386d9ca54dc42749b9d9ab2a41968de,"{""c"":""phenom_color_code"",""d"":7,""noise"":""uniform"",""p"":0.001,""q"":38,""r"":28}","{""detection_events"":897048}"
     84121,         0,         0,    1.00,chromobius,e288c5afe5b3f6a7645352a48c3f4f18595a0177ac1998fd42a8559709c8c269,"{""c"":""phenom_color_code"",""d"":7,""noise"":""uniform"",""p"":0.002,""q"":38,""r"":28}","{""detection_events"":898569}"
     56051,         0,         0,    1.00,chromobius,346112bd893eb0b9530af80a644d273f7cbd1ce3f7fa5f33aaa65a159c200c29,"{""c"":""phenom_color_code"",""d"":7,""noise"":""uniform"",""p"":0.003,""q"":38,""r"":28}","{""detection_events"":891161}"
     32768,         8,         0,    1.01,chromobius,3a20d044a00aef37a405cb50877d41a58e3adf4a80a40c2a544f59aac4e9f709,"{""c"":""phenom_color_code"",""d"":7,""noise"":""uniform"",""p"":0.005,""q"":38,""r"":28}","{""detection_events"":860799}"
     23016,        22,         0,    1.01,chromobius,df0593f67464b458bcba40ccfced5d0ee7129c13d2a28582d4c6838f8d7961aa,"{""c"":""phenom_color_code"",""d"":7,""noise"":""uniform"",""p"":0.007,""q"":38,""r"":28}","{""detection_events"":838153}"
     15625,        73,         0,    1.02,chromobius,f6bef0b45e593196fcb843fc38317b8b19a653cabd531184dea94b4169ca7498,"{""c"":""phenom_color_code"",""d"":7,""noise"":""uniform"",""p"":0.01,""q"":38,""r"":28}","{""detection_events"":801358}"
    624539,         0,         0,    1.00,chromobius,2899b13b18071e59be823b6247c51a1a258cffaeb5c5ba9f5afbf4d7fda635b4,"{""c"":""phenom_color_code"",""d"":9,""noise"":""uniform"",""p"":0.0001,""q"":62,""r"":36}","{""detection_events"":736558}"
    342228,         0,         0,    1.00,chromobius,5c555cfa6f085b5aa69365a129e9b712e08a51b3d0a00482b21d2b4954045476,"{""c"":""phenom_color_code"",""d"":9,""noise"":""uniform"",""p"":0.0002,""q"":62,""r"":36}","{""detection_events"":806571}"
