     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      5271,      1807,         0,   0.192,chromobius,a419b9fb39f6dc05e659db55f78428011e9145e1d8585e76d45be56c4bb386e2*a262a58fe8efaff52a34706e534dcd43b437267ca6c45ca5a01b8f0486557e8e,"{""c"":""midout_color_code_XZ"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.002,""q"":9,""r"":12}",
      3881,      1010,         0,   0.073,chromobius,887bbd376d8dc741e6aa7ba44fd84445c58a5d5b77486236ebfe75824017f9fb,"{""c"":""midout_color_code_X"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.003,""q"":9,""r"":12}",
      4114,      1037,         0,   0.059,chromobius,4086c7efe98e27d9021eba53933c266c2c6977c05efac3cd64d3e1f0a4661b52,"{""c"":""midout_color_code_Z"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.003,""q"":9,""r"":12}",
      3881,      1734,         0,   0.132,chromobius,887bbd376d8dc741e6aa7ba44fd84445c58a5d5b77486236ebfe75824017f9fb*4086c7efe98e27d9021eba53933c266c2c6977c05efac3cd64d3e1f0a4661b52,"{""c"":""midout_color_code_XZ"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.003,""q"":9,""r"":12}",
      2878,      1004,         0,   0.101,chromobius,58c9b9499b4cb90a1cfbcff6b39fc7e4e74401a360620e4e81250dfb06144364,"{""c"":""midout_color_code_X"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.005,""q"":9,""r"":12}",
      2765,      1002,         0,   0.083,chromobius,58e96c350b65d0d7d549592ae574121fbf2f847695e645b67ac2e27855b47e3a,"{""c"":""midout_color_code_Z"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.005,""q"":9,""r"":12}",
      2765,      1617,         0,   0.184,chromobius,58e96c350b65d0d7d549592ae574121fbf2f847695e645b67ac2e27855b47e3a*58c9b9499b4cb90a1cfbcff6b39fc7e4e74401a360620e4e81250dfb06144364,"{""c"":""midout_color_code_XZ"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.005,""q"":9,""r"":12}",
      2586,      1004,         0,   0.086,chromobius,22e7bc2b90a911ea92dca32178980420d5d969c39e63dd75d7a611e0793d7016,"{""c"":""midout_color_code_X"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.006,""q"":9,""r"":12}",
      2790,      1093,         0,   0.071,chromobius,1b77ed7b89fd1e34b7ef91591ed7ab69215424a1960aa5d2d0e51fc314e995dc,"{""c"":""midout_color_code_Z"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.006,""q"":9,""r"":12}",
      2586,      1624,         0,   0.157,chromobius,22e7bc2b90a911ea92dca32178980420d5d969c39e63dd75d7a611e0793d7016*1b77ed7b89fd1e34b7ef91591ed7ab69215424a1960aa5d2d0e51fc314e995dc,"{""c"":""midout_color_code_XZ"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.006,""q"":9,""r"":12}",
      2367,      1012,         0,   0.081,chromobius,9b5b8c0ec1a9a225875ecef89f201c649a31070d105ddfd5809484aedf9478ec,"{""c"":""midout_color_code_X"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.007,""q"":9,""r"":12}",
      2422,      1023,         0,   0.107,chromobius,db90d8bfa43346872978ab1908ffa78dd97d795b83096702e514dd54031ef24c,"{""c"":""midout_color_code_Z"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.007,""q"":9,""r"":12}",
      2367,      1584,         0,   0.188,chromobius,9b5b8c0ec1a9a225875ecef89f201c649a31070d105ddfd5809484aedf9478ec*db90d8bfa43346872978ab1908ffa78dd97d795b83096702e514dd54031ef24c,"{""c"":""midout_color_code_XZ"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.007,""q"":9,""r"":12}",
      2450,      1080,         0,   0.085,chromobius,0f1ad12768f5423e4d61fc5ea03295959dee2efba5df4ad8037b6538d8b16825,"{""c"":""midout_color_code_X"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.008,""q"":9,""r"":12}",
      2428,      1017,         0,   0.087,chromobius,92c9ffaf578b92f51d8634d96087d3e8c9be00a22e38a5244f3d21316e9988a0,"{""c"":""midout_color_code_Z"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.008,""q"":9,""r"":12}",
      2428,      1639,         0,   0.172,chromobius,92c9ffaf578b92f51d8634d96087d3e8c9be00a22e38a5244f3d21316e9988a0*0f1ad12768f5423e4d61fc5ea03295959dee2efba5df4ad8037b6538d8b16825,"{""c"":""midout_color_code_XZ"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.008,""q"":9,""r"":12}",
      2184,      1026,         0,   0.075,chromobius,4d15f53ff5eaa8c73227a8d9d400a90c6b20dddcc95fe58bddfc2207c95eea9b,"{""c"":""midout_color_code_X"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.01,""q"":9,""r"":12}",
      2201,      1003,         0,   0.063,chromobius,90223c6c80b7df2e23c8f79fbbeacdb8d2c53e24b85a55ce03a191d1402ed7f9,"{""c"":""midout_color_code_Z"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.01,""q"":9,""r"":12}",
      2184,      1554,         0,   0.138,chromobius,4d15f53ff5eaa8c73227a8d9d400a90c6b20dddcc95fe58bddfc2207c95eea9b*90223c6c80b7df2e23c8f79fbbeacdb8d2c53e24b85a55ce03a191d1402ed7f9,"{""c"":""midout_color_code_XZ"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.01,""q"":9,""r"":12}",
   4030141,      1027,         0,    14.3,chromobius,9d7b85be9c89548a8bc40425a81765b505aca08df6fc112bc2bdc641ee9ef5fb,"{""c"":""midout_color_code_X"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.0001,""q"":23,""r"":20}",
   4009896,      1010,         0,    13.4,chromobius,c76b8229ef9547e49f7a3ac6b139911657d08078ce057a2a68642839f6ec5499,"{""c"":""midout_color_code_Z"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.0001,""q"":23,""r"":20}",
   4009896,      2032,         0,    27.7,chromobius,c76b8229ef9547e49f7a3ac6b139911657d08078ce057a2a68642839f6ec5499*9d7b85be9c89548a8bc40425a81765b505aca08df6fc112bc2bdc641ee9ef5fb,"{""c"":""midout_color_code_XZ"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.0001,""q"":23,""r"":20}",
    940376,      1005,         0,    5.63,chromobius,c512191047eabd479184058fc6663b9b1b86440f4abd36c5b499859239c30091,"{""c"":""midout_color_code_X"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.0002,""q"":23,""r"":20}",
    964973,      1018,         0,    5.25,chromobius,1ee718955cb4c2fcd23d00a68ca4ad6f414b0bab77cd29a430437e71bfe4a9e5,"{""c"":""midout_color_code_Z"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.0002,""q"":23,""r"":20}",
    940376,      1996,         0,    10.9,chromobius,c512191047eabd479184058fc6663b9b1b86440f4abd36c5b499859239c30091*1ee718955cb4c2fcd23d00a68ca4ad6f414b0bab77cd29a430437e71bfe4a9e5,"{""c"":""midout_color_code_XZ"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.0002,""q"":23,""r"":20}",
    429539,      1009,         0,    3.68,chromobius,5537f8fd764d00077ce5b8517403566b889b8cd0f3df2ee46432932612656bf1,"{""c"":""midout_color_code_X"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.0003,""q"":23,""r"":20}",
    489605,      1068,         0,    3.83,chromobius,d24e75f3a803732c693e0bedf97f78d008a1ab7b8f9edc4f441d60254eec7b75,"{""c"":""midout_color_code_Z"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.0003,""q"":23,""r"":20}",
    429539,      1944,         0,    7.51,chromobius,5537f8fd764d00077ce5b8517403566b889b8cd0f3df2ee46432932612656bf1*d24e75f3a803732c693e0bedf97f78d008a1ab7b8f9edc4f441d60254eec7b75,"{""c"":""midout_color_code_XZ"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.0003,""q"":23,""r"":20}",
    169589,      1071,         0,    2.19,chromobius,e957254e8e28f9336dac58ed6d5b08bee7b6f876502d577181325e3427706d53,"{""c"":""midout_color_code_X"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.0005,""q"":23,""r"":20}",
    163349,      1052,         0,    2.20,chromobius,8c65b4ae76b9154fd3e68c41f65215c017f4c87e18d28c9056e7b8be808cebfe,"{""c"":""midout_color_code_Z"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.0005,""q"":23,""r"":20}",
    163349,      2077,         0,    4.39,chromobius,8c65b4ae76b9154fd3e68c41f65215c017f4c87e18d28c9056e7b8be808cebfe*e957254e8e28f9336dac58ed6d5b08bee7b6f876502d577181325e3427706d53,"{""c"":""midout_color_code_XZ"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.0005,""q"":23,""r"":20}",
     79740,      1000,         0,    1.60,chromobius,cd290599dc49b147ab7de68d0befb3d0778912a719c2e99f17a75662aef03db0,"{""c"":""midout_color_code_X"",""d"":5,""gates"":""all"",""noise"":""uniform"",""p"":0.0007,""q"":23,""r"":20}",
